#Node	k	network_signs	integer_encoded_BF	model_PMID
BID	5	iiaai	704643072	22102804
Caspase	6	iaaaia	71860777161588736	22102804
BclxL	6	iiiiaa	8070450532247928832	22102804
Apoptosis	2	aa	7	22102804
MCL1	6	iiaaaa	281474976710656	22102804
GZMB	4	iaaa	22272	22102804
TNF	2	ia	4	22102804
NFKB	6	iaaaaa	4557431162615627776	22102804
IL2	5	iaaai	715784192	22102804
TBET	3	iaa	112	22102804
NFAT	2	ia	4	22102804
STAT3	2	ia	4	22102804
FLIP	5	iaiaa	1349517312	22102804
DISC	6	iaaaia	3675731796164608	22102804
CREB	3	iaa	16	22102804
IFNG	7	iaaaiia	20040064622071666324044513280	22102804
TCR	3	iia	64	22102804
CTLA4	2	ia	4	22102804
PDGFR	3	iaa	112	22102804
S1P	3	iia	64	22102804
FasL	5	iaaaa	2147418112	22102804
ERK	3	iaa	16	22102804
ZAP70	3	iia	64	22102804
LCK	5	iaaai	721354752	22102804
FYN	3	iaa	112	22102804
sFas	3	iaa	16	22102804
FasT	2	ia	4	22102804
IL2RB	4	iaaa	5376	22102804
SPHK1	2	ia	4	22102804
TRADD	4	iiia	16384	22102804
IAP	3	iia	64	22102804
PI3K	3	iaa	112	22102804
A20	2	ia	4	22102804
RAS	4	iiaa	28672	22102804
GAP	6	iaiiaa	5764730668336545792	22102804
IL2RAT	4	iaaa	1792	22102804
PLCG1	3	iaa	112	22102804
GRB2	3	iaa	112	22102804
JAK	7	iiaaaai	56713727767337635567719542842932068352	22102804
IFNGT	4	iaaa	32512	22102804
SMAD	2	ia	4	22102804
P2	4	iaai	10752	22102804
Ceramide	3	iai	32	22102804
RANTES	2	ia	4	22102804
IL2RA	4	iaia	1024	22102804
Fas	4	iaai	512	22102804
GPCR	2	ia	4	22102804
TPL2	4	iaaa	14080	22102804
IL2RBT	3	iaa	16	22102804
P27	2	ia	4	22102804
SOCS	4	iiia	16384	22102804
Cytoskeleton_signaling	2	ia	4	22102804
MEK	2	ia	4	22102804
Proliferation	3	iia	64	22102804
Gal11p	1	a	1	19144179
MLS1	2	aa	7	19144179
Cat8p	2	aa	1	19144179
Sip4p	2	aa	1	19144179
MalRp	2	aa	1	19144179
MALR	1	i	2	19144179
maltose_int	2	aa	1	19144179
GAL7	1	a	1	19144179
GAL4	1	i	2	19144179
Mig3p	2	ai	2	19144179
MIG3	1	i	2	19144179
Snf1p	3	iaa	16	19144179
HXT3	2	ai	14	19144179
Rgt1p	3	aaa	19	19144179
Mth1p	5	aiiii	65274	19144179
MIG2	1	i	2	19144179
SIP4	1	a	1	19144179
Gal3p	2	aa	1	19144179
GAL3	1	i	2	19144179
galactose_int	2	aa	1	19144179
Rgt2p	2	aa	1	19144179
Mig1p	2	ai	2	19144179
PCK1	1	a	1	19144179
SFC1	1	a	1	19144179
GAL10	1	a	1	19144179
FBP1	2	aa	7	19144179
IDP2	1	a	1	19144179
MTH1	2	ia	14	19144179
Mig2p	1	a	1	19144179
Snf3p	2	aa	1	19144179
MDH2	2	aa	7	19144179
Gal2p	1	a	1	19144179
MEL1	2	ai	11	19144179
Gal4p	2	ai	2	19144179
CAT8	1	i	2	19144179
HXT4	3	iai	224	19144179
HXT2	2	ii	8	19144179
Std1p	5	iiiai	858927906	19144179
Yck1p	1	a	1	19144179
SCF_grr1	1	a	1	19144179
GAL5	1	a	1	19144179
HXT1	3	aia	236	19144179
MalTp	1	a	1	19144179
Gal1p	1	a	1	19144179
GAL1	2	ai	2	19144179
Gal80p	3	iia	64	19144179
Glc7Reg1	3	aaa	1	19144179
HXT8	1	i	2	19144179
MALS	2	ai	2	19144179
JEN1	1	a	1	19144179
SUC2	2	ii	8	19144179
ICL1	2	aa	7	19144179
4ORFs	1	i	2	19144179
HXT5	1	i	2	19144179
ACS1	1	a	1	19144179
MEC1	1	a	1	23233838
ESP1	1	a	1	23233838
MCD1-NUC	1	a	1	23233838
DesCyclinCCDK8	1	i	2	23233838
SLT2	5	aaaaa	4293918719	23233838
NDI1	1	a	1	23233838
MMI1	1	a	1	23233838
FVY10	1	a	1	23233838
MT-Frag	5	iiaaa	2136962901	23233838
MT-ALT	4	aaaa	32767	23233838
DRE2_TAH18	1	a	1	23233838
MDV1	1	a	1	23233838
FIS1	1	a	1	23233838
SDP1	1	a	1	23233838
PTP2	1	a	1	23233838
RLM1	2	aa	7	23233838
RAS2	2	aa	7	23233838
PKA	2	aa	7	23233838
ROS-MT	2	ai	2	23233838
SOD2	1	a	1	23233838
AIF1-NUC	1	a	1	23233838
AIF1-MT	1	a	1	23233838
KAP123	1	a	1	23233838
NUC1-MT	1	a	1	23233838
CytC-CYT	2	aa	7	23233838
CytC-MT	2	aa	7	23233838
CDC48	1	a	1	23233838
STM1-NUC	2	ia	4	23233838
STM1-CYT	1	a	1	23233838
Protosom	1	a	1	23233838
MCD1-MT	1	a	1	23233838
NMA111-NUC	1	a	1	23233838
NMA111-CYT	1	a	1	23233838
ROS-CYT	12	aaaiaaaaaaai	261097220353288126672938177679156095644991062261845945096058370820988476992882599573393990087330487239389362869354807379405286367520609394304524890851528542375449148994284234683113298985185860954019160702423091323923465556521052466501292874978117937422193362758730332826990673506712107789600888794489424784525909835715898596104276242834620519261842454484637378062407420415024518140846737790317090519375759175816236493962193546255043345643796163564102822920933744184193054557842625942274550910402550335369435266628863781997574556104580691930312039545096571556275099177994855573662172415968293776027591500109464830522988483288646862276462253040529984028757982972180363897326653583223792680559679634443590210803869799611283276685730578701155103463624435712989857243680889318094202330570473445679826748432281892875492955988746001541038104703738825390104534083423225986377595861682912337758304889657987451368893408395565750779130106787333822881024821437683212542205604027625704822372572924712867448571245912064431807691785645426412002038466782151624555759725299258527925119142589638986095964987447826564937736703705131141713154435225331893969476660946702862407989730253565171750140651091138114515191340374765617957248005193447331873161215	23233838
SVF1	1	a	1	23233838
SOD1	1	a	1	23233838
EMC4	1	a	1	23233838
SNO1	1	a	1	23233838
YCA1	7	aaaaaai	63802943797675961899382738893456539647	23233838
SRO7	1	a	1	23233838
BIR1	1	i	2	23233838
Tat-D	1	a	1	23233838
STE20-NUC	1	a	1	23233838
STE20-CYT	1	a	1	23233838
CAMP	2	aa	7	23233838
TOR1	1	a	1	23233838
AdenylateCyclase	2	aa	7	23233838
DNA-Frag	2	ia	13	23233838
MAPK	1	a	1	23233838
Apoptosis	11	aaaaaaaaaaa	32317006070366784560860260662752660744739268354798752006601328338543252180747149703702327152684985590453239920363193362178203671617062677000722322561973145942009465253402976455055638548461425875880286581881081768340443353333557578326413963585258943974499016862585163473357527740778769727472112052489876833416760476773484671420026986624677969372825685800043738785698937611904228161520292586595594165483326488034028933588918699116107894983883962801949113075363672574612281021262386516965674511209267326792907468164515129066130270137962477159251537191210235743590726405560224797948370725698913366538495868812859912749055	23233838
POR1-2	1	a	1	23233838
NUC1-NUC	1	a	1	23233838
HOG1-Dep	1	a	1	23233838
HOG1	3	aaa	253	23233838
CDC6	1	a	1	23233838
MSN2-4	1	a	1	23233838
PTP3	1	a	1	23233838
HOS3	1	a	1	23233838
RPD3	1	a	1	23233838
H2B	5	aaaaa	2147483647	23233838
KLF4	3	aaa	127	27148350
JNK	2	aa	7	27148350
ERK	1	a	1	27148350
AKT	1	a	1	27148350
MKK7	1	a	1	27148350
MEKK1	1	a	1	27148350
RAP1	1	a	1	27148350
C3G	1	a	1	27148350
RAF	2	aa	7	27148350
PKC	2	aa	7	27148350
RAS	1	a	1	27148350
Maff	3	aaa	127	27148350
ATF2	3	aaa	127	27148350
TrkA	1	a	1	27148350
PI3K	1	a	1	27148350
JUNB	3	aaa	127	27148350
G(i/o)	1	a	1	27148350
NPYY1	1	a	1	27148350
FAK	2	aa	7	27148350
Itga1	1	a	1	27148350
Egr1	3	aaa	127	27148350
Npy	1	a	1	27148350
AP1	4	aaaa	32767	27148350
SRF	1	a	1	27148350
RSK	1	a	1	27148350
GRB2	1	a	1	27148350
SHC	2	aa	7	27148350
SOS	1	a	1	27148350
CITED2	3	aaa	127	27148350
P53	3	aaa	127	27148350
CREB	3	aaa	127	27148350
JUND	2	aa	7	27148350
BTG2	2	aa	7	27148350
MSK1/2	2	aa	7	27148350
uPAR	1	a	1	27148350
KLF6	2	aa	7	27148350
FRS2	1	a	1	27148350
ETS1	2	aa	7	27148350
MEKK4	1	a	1	27148350
Mapk3k	1	a	1	27148350
ARC	2	aa	7	27148350
KLF5	3	aaa	127	27148350
RAC1	1	a	1	27148350
MEK	2	aa	7	27148350
MKK6	1	a	1	27148350
Ca2+	1	a	1	27148350
PLC	2	aa	7	27148350
uPA/PLAT	1	a	1	27148350
P38	2	aa	7	27148350
FOS	3	aaa	127	27148350
MYC	3	aaa	127	27148350
KLF10	3	aaa	127	27148350
Stat3	2	aa	7	27148350
DAG	1	a	1	27148350
Mmp3/10	1	a	1	27148350
Plasmin	1	a	1	27148350
ECM	1	a	1	27148350
Fosl1	3	aaa	127	27148350
ZFP36	2	aa	7	27148350
Dusp6	1	a	1	27148350
KLF2	3	aaa	127	27148350
IL8	2	aa	7	22962472
Erk	1	a	1	22962472
p38	4	iaaa	22357	22962472
PKC	3	iaa	16	22962472
DAG	1	a	1	22962472
Ca	1	a	1	22962472
Cdc42_Rac1	3	aaa	1	22962472
Akt	2	ai	2	22962472
DOCK180	1	a	1	22962472
Ras	1	a	1	22962472
MMP1_10	1	a	1	22962472
Plasmin	2	aa	1	22962472
Mkk6	1	a	1	22962472
MLK3	1	a	1	22962472
Elk1	2	aa	7	22962472
JNK	3	aaa	87	22962472
EGFR	2	aa	7	22962472
HBEGF	2	aa	7	22962472
PI3K	3	aaa	87	22962472
Integrins	1	a	1	22962472
ECM	1	a	1	22962472
uPA	1	a	1	22962472
uPAR	1	a	1	22962472
PAK1	1	a	1	22962472
Mkk3	1	a	1	22962472
CDKN2A	2	aa	7	22962472
ETS	1	a	1	22962472
IP3	1	a	1	22962472
CCL20	1	a	1	22962472
CRKL	1	a	1	22962472
Grb2	1	a	1	22962472
MET	1	a	1	22962472
Mekk7	1	a	1	22962472
Mkk4	3	aaa	127	22962472
PAK2	1	a	1	22962472
PLC_g	2	aa	7	22962472
Mekk1	1	a	1	22962472
ATF2	2	aa	1	22962472
STAT3	1	a	1	22962472
C3G	1	a	1	22962472
Mek	2	aa	7	22962472
Raf	3	aaa	1	22962472
Fak	3	aia	4	22962472
Rap1	1	a	1	22962472
PAK3	1	a	1	22962472
CREB	1	a	1	22962472
RSK	1	a	1	22962472
Shc	3	aaa	127	22962472
CTGF	2	aa	7	22962472
cFOS	1	a	1	22962472
CellMigration	4	aaaa	1	22962472
PTGS2	3	aaa	31	22962472
CDKN1A	1	a	1	22962472
cMYC	1	a	1	22962472
AP1	2	aa	1	22962472
cJUN	2	aa	1	22962472
Mekk4	1	a	1	22962472
CDK2	3	iia	84	22962472
CyclinD	2	aa	7	22962472
SOS	1	a	1	22962472
EGR1	1	a	1	22962472
Proliferation	2	aa	1	22962472
Apoptosis	1	a	1	26446703
CASP3	3	aai	42	26446703
CASP9	3	aii	8	26446703
CYTC	1	a	1	26446703
P21	4	iiaa	28672	26446703
IAP	3	aia	76	26446703
CASP8	3	iai	32	26446703
GSK3B	2	ii	8	26446703
AKT	3	iai	32	26446703
EP2	1	a	1	26446703
IFNG	2	aa	7	26446703
TH1	5	aiaii	134252544	26446703
CTL	2	ai	2	26446703
CYCLIND1	4	aiaa	28912	26446703
BCATENIN	2	ia	14	26446703
JUN	4	aaia	1092	26446703
STAT3	1	a	1	26446703
IL4	2	aa	7	26446703
TH2	3	iai	32	26446703
DC	3	aia	76	26446703
SMAD	2	ia	4	26446703
TGFR	2	ia	4	26446703
IKB	1	i	2	26446703
IKK	3	aaa	31	26446703
RAS	2	aa	7	26446703
GP130	1	a	1	26446703
BAX	4	iaaa	4864	26446703
TBID	2	ia	4	26446703
PP2A	2	ia	4	26446703
P53	4	aaia	19660	26446703
SMAD7	2	aa	7	26446703
NFKB	1	i	2	26446703
SPHK1	2	aa	7	26446703
TNFR	1	a	1	26446703
ERK	1	a	1	26446703
CCL2	1	a	1	26446703
JAK	2	ai	2	26446703
SOCS	1	a	1	26446703
IL6	3	aaa	127	26446703
MAC	3	aai	42	26446703
IL12	2	aa	7	26446703
FAS	1	a	1	26446703
TNFA	1	a	1	26446703
TGFB	1	a	1	26446703
COX2	2	aa	1	26446703
S1P	1	a	1	26446703
IL10	2	aa	7	26446703
Proliferation	4	iaai	512	26446703
FOS	1	a	1	26446703
ASK1	2	ia	4	26446703
ROS	2	ia	4	26446703
SOD	2	aa	7	26446703
CERAMIDE	2	ai	2	26446703
MOMP	4	aiaa	28912	26446703
BCL2	4	aiia	16576	26446703
ATM	1	a	1	26446703
CFLIP	1	a	1	26446703
SMAC	1	a	1	26446703
MDM2	4	aiia	64	26446703
SMASE	2	aa	7	26446703
FADD	2	aa	7	26446703
MEKK1	3	aaa	127	26446703
JNK	2	aa	7	26446703
TREG	3	aai	42	26446703
PGE2	1	a	1	26446703
PTEN	3	iia	64	26446703
RAF	2	aa	7	26446703
PI3K	3	aia	76	26446703
MEK	2	aa	7	26446703
saa	3	aaa	1	21968890
dum_cebp_saa	2	aa	7	21968890
stat3_ta	4	aiia	64	21968890
ir	2	ii	8	21968890
socs1	1	a	1	21968890
socs3	4	aaaa	32767	21968890
tdum_socs3_shp2	1	a	1	21968890
dum_mtorc1_or_pkcd_stat3_ta	2	aa	7	21968890
mtorc1	1	a	1	21968890
pkcd	1	a	1	21968890
crp	3	aia	4	21968890
cfos	1	a	1	21968890
irs1_py	3	iii	128	21968890
irs1_ps	2	aa	7	21968890
shp2	5	aaiii	128	21968890
shp2_a	4	aiai	32	21968890
casp9	1	i	2	21968890
akt	5	aaiai	32	21968890
plcg	1	a	1	21968890
gab1_mem_p	2	aa	1	21968890
var_app	2	aa	7	21968890
cebpd	1	a	1	21968890
cebpb	2	aa	7	21968890
ip3	1	a	1	21968890
mekk1	1	a	1	21968890
rac1	1	a	1	21968890
p38	1	a	1	21968890
erk12	1	a	1	21968890
mek1	1	a	1	21968890
cam_ca	1	a	1	21968890
ca	1	a	1	21968890
gp130s	2	ii	8	21968890
camk24	1	a	1	21968890
mk2	1	a	1	21968890
mtorc2	1	a	1	21968890
anti_apoptotic	4	iiia	16384	21968890
gsk3	1	i	2	21968890
bad	1	i	2	21968890
pro_proliferative	6	aiaiaa	17870133787824750591	21968890
p70s6k	3	aaa	127	21968890
fkhr	1	i	2	21968890
stat1_ta	4	aiia	64	21968890
dum_pkcd_camk24_stat1_ta	2	aa	7	21968890
stat1_py	5	iaaii	524288	21968890
stat3_py	5	iaaii	524288	21968890
il6rc_p	4	aaii	8	21968890
jak1	4	iiii	32768	21968890
vav	2	ai	2	21968890
il6rc	2	aa	1	21968890
dum_gp80_a_il6rc	2	aa	7	21968890
pro_hgf	2	aa	7	21968890
pip3	2	ai	2	21968890
gp80m_a	1	a	1	21968890
gp80s_a	2	ia	4	21968890
dum_il6rc_p_or_grb2_vav	2	aa	7	21968890
mek6	1	a	1	21968890
tdum_shp2_stat3_py	2	aa	7	21968890
tdum_shp2_stat1_py	2	aa	7	21968890
gab1_mem	3	aaa	55	21968890
grb2_sos	2	aa	7	21968890
ras	2	ai	2	21968890
ras_gap	2	ai	2	21968890
mek4	1	a	1	21968890
dum_gab1_kin_or_jak1_gab1_mem_p	2	aa	7	21968890
pi3k	3	aaa	59	21968890
raf1	1	a	1	21968890
cmyc	1	a	1	21968890
a2m_gfbg	2	ia	4	21968890
tdum_socs1_vav	1	a	1	21968890
tdum_shp2_il6rc_p	2	aa	7	21968890
junb	1	a	1	21968890
ship2d	1	a	1	19662154
gsk3	2	ai	14	19662154
p90rsk	2	aa	1	19662154
akt	5	aaaai	42	19662154
p70s6_1	2	aa	7	19662154
erk12	1	a	1	19662154
jnk	2	aa	1	19662154
rntre	2	aa	1	19662154
erbb11	10	aaaaiaaaaa	179769313444424326638834208574911969665452936927265147702692056800212479862746716130908047566134048480032005726706347683256491533977497035379295125732795961176764155979272124918559012818496474227482228407167329216933347497999760870405396360589119444144590157091673599774846193379917327215065406000480066994380	19662154
ccbl	1	a	1	19662154
shp2	1	a	1	19662154
gab1	3	aaa	127	19662154
cmyc	2	ia	4	19662154
nucerk12	2	ai	2	19662154
mtor_ric	1	a	1	19662154
pip3	3	aii	8	19662154
pi34p2	3	aia	4	19662154
rin1	1	a	1	19662154
ras	2	ia	4	19662154
pi3k	6	aaaaaa	1383505805528216371	19662154
ptend	1	a	1	19662154
bad	2	ai	14	19662154
pak1	3	aaa	21	19662154
ip3	1	a	1	19662154
plcg	1	a	1	19662154
raf1	4	iaaa	5376	19662154
aktd	1	a	1	19662154
vav2	3	aaa	7	19662154
mkk3	1	a	1	19662154
mlk3	1	a	1	19662154
mtor_rap	2	aa	1	19662154
rheb	1	i	2	19662154
ap1	2	aa	1	19662154
cfos	4	aaai	2602	19662154
cjun	1	a	1	19662154
mek12	2	aa	7	19662154
endocyt_degrad	2	aa	1	19662154
shp1d	1	a	1	19662154
p90rskerk12d	2	aa	1	19662154
erbb13	12	aaaaaiaaaaia	214379961148462407689805174732110137111385366701421914514510442029807456322487798759913699204311148668927337290238044248783482560473905678950286107954543010170381888265521823903824937284780458933560226177601392274204915421831935135785961820407170394581720031045673488473272682631448496534101093853754360876480163524723156509722277607135890986260588252009155600212696659505830777218252889709285338003318699326378543316805933640683405296537852178847204841212637167930603649460890477963479329289099014720776101105608830499043714618180073399452664403274884603450587771435630993676012473164760596593620359941380555932946499142319854951830070026079655875388450049465993846174581445880601169665894984396292994072865539659090803263850447649250811428113607130335743720976714435740057672546292305523491859407848150195638955647310165061740546660290958730747066976940737479950903739511382810654162691072388688077523740038617595889873949646456856932960596738947317144152361889735099651226987094625405059780416146431956376138014650165517953987968904074176131834961772708683191048106606208316542912734075598929836681253574184544927262557895692561924512173343078069248168597386446192993330113184320716	19662154
elk1	2	ai	2	19662154
erbb44	8	aaaaaaaa	13479973327298218163408328416664646464972880326916656801836064309247	19662154
limk1	1	a	1	19662154
sos1	3	aia	4	19662154
grb2	9	aaaaaaaaa	6703903964971298549787012499102923063739682910296196688861780721860882015036773488400937149083451713845015929093243025426876941405973284973216824503042047	19662154
nck	3	aaa	127	19662154
raccdc42	2	aa	7	19662154
stat5	3	aaa	7	19662154
erbb24	14	aaaaaaaaaaaaaa	383161877873559545132719939520114874996529505491185801080728931258375193721221843443178275440742183078264943958060706772999652154715065740972363316425679019807915857513230574560848240927946369083669805216867866041883045792101765691067972709877391899923521094181471994653802301374948815033462702764484988911402125504845748914079226654533939768107725677351926804597948717364153302708301070727170329464860996794313953313283400655246268656754719899202565327040399583251502788570729830269867449234257498816465448357894960036602138728813154327834448754763849648348978820624138263700760495100935904103136854785552776897820344524475757679508195295376887043203071125665924369612133859504608695450741569239217548473072571165284063482311234205743640874649156997430517164604830019938795902414839665636854160210498193707350069062271521978253831828305352744221799390874287358846088921808369483639730658536961155746003058627432815811521731865975736608779085219715017824775025936318877680486526594369276140021317954595491246183680918217922540871933316650323316145889655407982231079161296187844391199777668259474328037786606204330181741059930153196637542130297421843311249854793306514739607904809615159176889988017630818662565077252022134345773048852924670260698180991588738998963552425928472928328634997159040880911897222591132694312200612705688896867626414369065511577108563657084961300881275203514325993905147360098864682303791763209778170182350695643421302767744716610517353313293854974584929606873846084647482174461226063154898809769561768063950167269579559646043353431277434632153430273453557345534543603625568998360243280386579066660367563043832236832894139467120255958398863945766591820634420458523705684222007923007130089937891789902569885102731222631492489519809832257122714023881119545869268348049877057908715724590769474061791096453578550381309869117384474258174437956781670641873402059272586977308213811452620069381424193259724918483470060076075976456309305529721633156726476886289743710942981746583348416377981360495222740708950753211603070151524071445399702020620418588052148192911950470618561196203896711450867194691928174224046759039459255705930292302969377589336185212703713268087454383543020858720209461115293031190223940426282515639586053109978794858939916163681868694361908117185963182116436683149754837672264387503679039294127026013908277520737473014583698188524421692694752365557382010241126874264322914286250672893469065747690957106633948387883062997355911390030375247379832898627916174459636770716093149892067583109971745327212721070952390147120055718564889430033834884734142885751299853534366258053196438600761744089079346013607850670043140301019022817674631793220141580429512296225723947064709692006643615645571664167849591559648612963618163645745059484315685837757873460284190294291569692647676069593765214761107617025042086495913654754348120119395329561777144750514034642622781721116153549244291908477547848709745959530578606073175808925712465897867435379203627503261633968432853765024717715784155482244604506367895278247888395226111364294256524327473807890471317629376426224048531949549218687306214780437740664302699971970205471380156407914231204391448521510189189179408574417261947063645831374620346959649176053234038372317229064689588289401604410576389147000005779109239561972362068116331448405202100621204460537624949952357498166623377234487606199920294061720746617217579237684420536711131251638284348078255454289216473799971818203853428885607228340961074739057153868806886654222910599524066467531715241179942010772012388979658516065740888140177437281441881330780382810117349156631600984685753970466231711749123659589261311704011204276920231869696196984823382189514628260626069201065026546830242833944664731374673632922808435741925432558229403663066817449177208006250064872642733101881738997683138964691538731249064739068409646349126340705458329769464301992390575980175046194600445339830437756236764662030420467218111193798786522212109370715409775084423602451329019862770399378896008220262356895581231279053551114146224489111136500979082822164127365064106791442528357885792201209790543263031087295108393056871065151012109430473613937540310630697950635386262582052264160606556838780782528059222364182774281103048150257802080218893922882153154697648108278025122949215840555979825286091147422527101186577989985650561235529205750257236111823180245157512651910377575661634339698901590329374171719706681984915935275733356248503987291018704474466165493117808230227649107483180065826297570428620748756253174095373562949718853880360381888989336090590041000148996967778273558405087938445102876480066116086807127574904202753982509322761941290444611574575245088978106587852699060157624782650605567	19662154
mk2	1	a	1	19662154
p38	3	aaa	127	19662154
dag	1	a	1	19662154
shc	8	aaaaaaaa	57896044618658097711785492504343953926634992332820282019728792003956564819967	19662154
erbb34	7	iaaaaaa	604444463063240877801472	19662154
erbb14	12	aaaiaaaaaaia	68673039428453281110526621811579211297321711849119394033934142353739608005399303596370060604476179620033792004945834162067429546853638966294834738120356649932918510187614213223903435075396245551696091666870750048550075481272285276020559201212698825313375131883736276482785581768908300554861294652744401645122683505316203125295072790645685583222733187785604357556325678007208783897132722895551218250914956633170757226565586095094402568045443570991323729522542787572581462054001800769590755778396227361660336110601470894051392352157036643777368522363791593350391597290163184654366759815980814593854586808230724538835209642047908064583529018263187622684569466587137430270009006174452102768525828751574135739132884641430480019529258970176013773473296621914033911271791106458453881547448274367884029755541101651778959541102484533512618953254837448676563680529663012481059148960793974854067683113263950917308459074141889759564718774615248107158876326788072473022805383453491647035629042599159689100840166885457254919410161672658695172745548791808	19662154
erbb23	8	aaaaaaaa	3423913228328792196818997428435771646196854399740407364172095854477567	19662154
erbb12	9	aaaaaaaia	237252889972290509375828182058482648143647177527772643718840466055941447423207247683098468398484939265776037423966178780512772874170460989011525836	19662154
hsp27	1	a	1	19662154
mkk4	3	aaa	127	19662154
mkk6	1	a	1	19662154
mkk7	1	a	1	19662154
mekk1	1	a	1	19662154
p70s6_2	3	aaa	1	19662154
mekk4	1	a	1	19662154
shp1	1	a	1	19662154
pro_apoptotic	1	a	1	19662154
tsc1_tsc2	1	i	2	19662154
actinreorg	1	a	1	19662154
rab5a	2	ai	2	19662154
ca	1	a	1	19662154
stat3	2	aa	1	19662154
creb	2	aa	7	19662154
pkc	3	aaa	1	19662154
stat1	2	aa	1	19662154
rasgap	2	ai	2	19662154
sos1esp8e3b1	4	aaaa	1	19662154
gads	1	a	1	17722974
lat	1	a	1	17722974
mek	1	a	1	17722974
raf	1	a	1	17722974
cd28	1	a	1	17722974
pdk1	1	a	1	17722974
pip3	3	aii	8	17722974
bclxl	1	i	2	17722974
bad	1	i	2	17722974
creb	1	a	1	17722974
rsk	1	a	1	17722974
lckp2	2	aa	1	17722974
lckr	1	a	1	17722974
tcrb	2	ia	4	17722974
vav3	1	a	1	17722974
sh3bp2	2	aa	1	17722974
card11a	3	aaa	1	17722974
malt1	1	a	1	17722974
card11	1	a	1	17722974
bcl10	1	a	1	17722974
erk	1	a	1	17722974
mekk1	3	aaa	127	17722974
hpk1	1	a	1	17722974
rac1p2	2	aa	1	17722974
cdc42	1	a	1	17722974
pi3k	3	iaa	112	17722974
cblb	1	i	2	17722974
xx	1	a	1	17722974
ip3	1	a	1	17722974
plcga	6	iaaaaa	4294967296	17722974
pkcth	3	aaa	1	17722974
dag	2	ia	4	17722974
vav1	3	aaa	55	17722974
rac1r	1	a	1	17722974
sos	1	a	1	17722974
grb2	1	a	1	17722974
mkk4	2	aa	7	17722974
mlk3	2	aa	7	17722974
fyn	4	aaaa	4383	17722974
lckp1	5	aaiai	32	17722974
cd45	1	a	1	17722974
ikkab	2	aa	1	17722974
ikkg	2	aa	1	17722974
camk2	1	a	1	17722974
slp76	3	iaa	16	17722974
zap70	3	aia	4	17722974
gab2	4	aaaa	273	17722974
p27k	1	i	2	17722974
pkb	1	a	1	17722974
camk4	1	a	1	17722974
cam	1	a	1	17722974
cre	1	a	1	17722974
dgk	1	a	1	17722974
ras	3	iaa	16	17722974
rasgrp	1	a	1	17722974
gap	1	a	1	17722974
ccblp2	2	aa	1	17722974
ccblr	1	a	1	17722974
p21c	1	i	2	17722974
itk	3	aaa	1	17722974
jun	1	a	1	17722974
jnk	2	aa	7	17722974
sre	2	aa	7	17722974
Dummy	6	iaaaaa	4294967296	17722974
plcgb	1	a	1	17722974
shp1	2	ia	4	17722974
cyc1	1	i	2	17722974
gsk3	1	i	2	17722974
nfkb	1	i	2	17722974
ikb	1	i	2	17722974
fkhr	1	i	2	17722974
calpr1	1	a	1	17722974
ap1	2	aa	1	17722974
fos	1	a	1	17722974
csk	1	a	1	17722974
pag	2	ai	2	17722974
rlk	1	a	1	17722974
tcrlig	1	a	1	17722974
tcrp	3	aaa	21	17722974
abl	2	aa	7	17722974
ccblp1	2	aa	1	17722974
ca	1	a	1	17722974
ship1	1	a	1	17722974
akap79	1	a	1	17722974
rac1p1	2	aa	1	17722974
p38	2	ia	4	17722974
gadd45	1	a	1	17722974
pten	1	a	1	17722974
calcin	4	iiia	16384	17722974
cabin1	1	i	2	17722974
nfat	1	a	1	17722974
bcat	1	i	2	17722974
shp2	1	a	1	17722974
p70s	1	a	1	17722974
nfkb	3	iaa	16	21968890
p50	1	a	1	21968890
p65	2	ai	2	21968890
ikba	3	iaa	213	21968890
akt	3	aaa	1	21968890
pip3	2	ai	2	21968890
nc_nfkb_pathway	2	aa	1	21968890
nik	1	a	1	21968890
ikkaa	1	a	1	21968890
mek3	2	aa	7	21968890
mekk3	2	aa	7	21968890
tak1_tab	4	iaaa	256	21968890
tdum_tpl2_degr_tp2	1	a	1	21968890
tpl2_degr	1	a	1	21968890
tpl2	4	aiai	32	21968890
p105	1	i	2	21968890
irak1_ub	2	aa	1	21968890
pellino	2	aa	7	21968890
tollip	1	a	1	21968890
il1rc	3	aii	8	21968890
ikka_a	2	aa	1	21968890
ikkaa_nemo	2	aa	1	21968890
dum_mek3_or_4_or_6_nuc_p38	3	aaa	127	21968890
mek4	2	aa	7	21968890
mek6	2	aa	7	21968890
il1r2	2	ai	2	21968890
dum_il1_r2	2	aa	7	21968890
il1ra	3	aaa	87	21968890
ksrp	1	i	2	21968890
cyt_p38	2	aa	1	21968890
ikba_diss	1	a	1	21968890
saa	2	aa	1	21968890
dum_cebp_saa	2	aa	7	21968890
upa	2	aa	1	21968890
ap1	3	aaa	127	21968890
atf2	3	aaa	127	21968890
traf6_ub	5	iaiia	4194304	21968890
dum_irak1_or_2_traf6_ub	2	aa	7	21968890
hsp27_ps	1	a	1	21968890
a20	1	a	1	21968890
hgf	2	aa	1	21968890
pro_hgf	2	aa	7	21968890
ikkbb_nemo	2	aa	1	21968890
nemo	1	i	2	21968890
mk2	1	a	1	21968890
nuc_p38	2	ai	2	21968890
p105_degr	1	a	1	21968890
ikkb_a	2	aa	1	21968890
dum_il1_r1	2	aa	7	21968890
